INVOICE_ID,PROCESSOR_CHARGE_COUNT,PROCESSOR_BALANCE_AMOUNT_CENTS,HAS_REFUND_ACTIVITY,HAS_DISPUTE_ACTIVITY,FIRST_BALANCE_AVAILABLE_DATE,LAST_BALANCE_AVAILABLE_DATE
in_000000164012,1,29900,0,0,2024-06-07,2024-06-07
in_000000154779,1,79900,0,0,2024-06-17,2024-06-17
in_000000020206,1,79900,0,0,2024-06-06,2024-06-06
in_000000153951,1,9900,0,0,2024-06-07,2024-06-07
in_000000159530,1,9900,0,0,2024-06-18,2024-06-18
in_000000284955,1,29900,0,0,2024-06-16,2024-06-16
in_000000170791,1,9900,0,0,2024-06-18,2024-06-18
in_000000314072,1,79900,0,0,2024-06-13,2024-06-13
in_000000265800,1,199900,0,0,2024-06-20,2024-06-20
in_000000117810,1,199900,0,0,2024-06-24,2024-06-24
in_000000226854,1,29900,0,0,2024-06-20,2024-06-20
in_000000012483,1,29900,0,0,2024-06-23,2024-06-23
in_000000079398,1,9900,0,0,2024-06-06,2024-06-06
in_000000079198,1,29900,0,0,2024-06-06,2024-06-06
in_000000246185,1,29900,0,0,2024-06-08,2024-06-08
in_000000259347,1,29900,0,0,2024-06-21,2024-06-21
in_000000216395,1,9900,0,0,2024-06-25,2024-06-25
in_000000116312,1,99000,0,0,2024-06-18,2024-06-18
in_000000078526,1,9900,0,0,2024-06-23,2024-06-23
in_000000127327,1,29900,0,0,2024-06-14,2024-06-14
in_000000239731,1,29900,0,0,2024-06-26,2024-06-26
in_000000196418,1,29900,0,0,2024-06-10,2024-06-10
in_000000109848,1,29900,0,0,2024-06-19,2024-06-19
in_000000297636,1,29900,0,0,2024-06-06,2024-06-06
in_000000186909,1,9900,0,0,2024-06-14,2024-06-14
in_000000135567,1,9900,0,0,2024-06-21,2024-06-21
in_000000025340,1,29900,0,0,2024-06-20,2024-06-20
in_000000161967,1,799000,0,0,2024-06-17,2024-06-17
in_000000094681,1,9900,0,0,2024-06-18,2024-06-18
in_000000017645,1,9900,0,0,2024-06-08,2024-06-08
in_000000163655,1,199900,0,0,2024-06-09,2024-06-09
in_000000213266,1,29900,0,0,2024-06-08,2024-06-08
in_000000151702,1,299000,0,0,2024-06-17,2024-06-17
in_000000266155,1,29900,0,0,2024-06-04,2024-06-04
in_000000068248,1,199900,0,0,2024-06-09,2024-06-09
in_000000172962,1,29900,0,0,2024-06-04,2024-06-04
in_000000190030,1,29900,0,0,2024-06-19,2024-06-19
in_000000262004,1,79900,0,0,2024-06-16,2024-06-16
in_000000317127,1,9900,0,0,2024-06-03,2024-06-03
in_000000282822,1,29900,0,0,2024-06-17,2024-06-17
in_000000267660,1,799000,0,0,2024-06-19,2024-06-19
in_000000036295,1,29900,0,0,2024-06-06,2024-06-06
in_000000319041,1,9900,0,0,2024-06-14,2024-06-14
in_000000211707,1,9900,0,0,2024-06-09,2024-06-09
in_000000007703,1,9900,0,0,2024-06-18,2024-06-18
in_000000232416,1,79900,0,0,2024-06-08,2024-06-08
in_000000232791,1,29900,0,0,2024-06-15,2024-06-15
in_000000061295,1,79900,0,0,2024-06-19,2024-06-19
in_000000118409,1,29900,0,0,2024-06-05,2024-06-05
in_000000264596,1,9900,0,0,2024-06-17,2024-06-17
in_000000031933,1,79900,0,0,2024-06-24,2024-06-24
in_000000013660,1,199900,0,0,2024-06-18,2024-06-18
in_000000112194,1,9900,0,0,2024-06-19,2024-06-19
in_000000230417,1,29900,0,0,2024-06-09,2024-06-09
in_000000143243,1,29900,0,0,2024-06-23,2024-06-23
in_000000261172,1,29900,0,0,2024-06-14,2024-06-14
in_000000252423,1,29900,0,0,2024-06-04,2024-06-04
in_000000252454,1,9900,0,0,2024-06-16,2024-06-16
in_000000049507,1,9900,0,0,2024-06-16,2024-06-16
in_000000196795,1,9900,0,0,2024-06-04,2024-06-04
in_000000009681,1,79900,0,0,2024-06-07,2024-06-07
in_000000182708,1,29900,0,0,2024-06-20,2024-06-20
in_000000177797,1,79900,0,0,2024-06-25,2024-06-25
in_000000073502,1,9900,0,0,2024-07-05,2024-07-05
in_000000132477,1,79900,0,0,2024-06-09,2024-06-09
in_000000317458,1,9900,0,0,2024-06-19,2024-06-19
in_000000153114,1,9900,0,0,2024-06-12,2024-06-12
in_000000320237,1,299000,0,0,2024-06-09,2024-06-09
in_000000120420,1,9900,0,0,2024-06-18,2024-06-18
in_000000314734,1,9900,0,0,2024-06-23,2024-06-23
in_000000314233,1,29900,0,0,2024-06-09,2024-06-09
in_000000314984,1,9900,0,0,2024-06-07,2024-06-07
in_000000224883,1,9900,0,0,2024-06-09,2024-06-09
in_000000293472,1,29900,0,0,2024-06-20,2024-06-20
in_000000030343,1,29900,0,0,2024-06-24,2024-06-24
in_000000228729,1,9900,0,0,2024-06-20,2024-06-20
in_000000233159,1,79900,0,0,2024-06-21,2024-06-21
in_000000012150,1,9900,0,0,2024-06-26,2024-06-26
in_000000142205,1,9900,0,0,2024-06-05,2024-06-05
in_000000177153,1,9900,0,0,2024-06-03,2024-06-03
in_000000233727,1,29900,0,0,2024-06-12,2024-06-12
in_000000119391,1,29900,0,0,2024-06-24,2024-06-24
in_000000092733,1,9900,0,0,2024-06-04,2024-06-04
in_000000134110,1,9900,0,0,2024-06-22,2024-06-22
in_000000078077,1,9900,0,0,2024-06-18,2024-06-18
in_000000245245,1,29900,0,0,2024-06-11,2024-06-11
in_000000033324,1,199900,0,0,2024-06-05,2024-06-05
in_000000077563,1,29900,0,0,2024-06-16,2024-06-16
in_000000269468,1,29900,0,0,2024-06-11,2024-06-11
in_000000300695,1,29900,0,0,2024-06-14,2024-06-14
in_000000286678,1,29900,0,0,2024-06-17,2024-06-17
in_000000280212,1,29900,0,0,2024-06-25,2024-06-25
in_000000029259,1,9900,0,0,2024-06-08,2024-06-08
in_000000292956,1,79900,0,0,2024-06-06,2024-06-06
in_000000070003,1,79900,0,0,2024-06-20,2024-06-20
in_000000028257,1,29900,0,0,2024-06-10,2024-06-10
in_000000206596,1,29900,0,0,2024-06-16,2024-06-16
in_000000074296,1,9900,0,0,2024-06-18,2024-06-18
in_000000248911,1,299000,0,0,2024-06-14,2024-06-14
in_000000136436,1,9900,0,0,2024-06-04,2024-06-04
in_000000109192,1,79900,0,0,2024-06-06,2024-06-06
in_000000194696,1,9900,0,0,2024-06-06,2024-06-06
in_000000110415,1,9900,0,0,2024-06-27,2024-06-27
in_000000300475,1,9900,0,0,2024-06-13,2024-06-13
in_000000041069,1,199900,0,0,2024-06-09,2024-06-09
in_000000298054,1,9900,0,0,2024-06-15,2024-06-15
in_000000108497,1,29900,0,0,2024-06-14,2024-06-14
in_000000241358,1,199900,0,0,2024-06-14,2024-06-14
in_000000079555,1,29900,0,0,2024-06-16,2024-06-16
in_000000072413,1,29900,0,0,2024-06-04,2024-06-04
in_000000309563,1,9900,0,0,2024-06-19,2024-06-19
in_000000113633,1,9900,0,0,2024-06-25,2024-06-25
in_000000038126,1,9900,0,0,2024-06-20,2024-06-20
in_000000247650,1,29900,0,0,2024-06-14,2024-06-14
in_000000298614,1,29900,0,0,2024-06-10,2024-06-10
in_000000162518,1,29900,0,0,2024-06-05,2024-06-05
in_000000094825,1,199900,0,0,2024-06-14,2024-06-14
in_000000123077,1,199900,0,0,2024-06-19,2024-06-19
in_000000065407,1,29900,0,0,2024-06-24,2024-06-24
in_000000165910,1,29900,0,0,2024-06-15,2024-06-15
in_000000284749,1,9900,0,0,2024-06-07,2024-06-07
in_000000217442,1,9900,0,0,2024-06-15,2024-06-15
in_000000214591,1,9900,0,0,2024-06-06,2024-06-06
in_000000281862,1,29900,0,0,2024-06-21,2024-06-21
in_000000159259,1,9900,0,0,2024-06-14,2024-06-14
in_000000122934,1,29900,0,0,2024-06-24,2024-06-24
in_000000212859,1,9900,0,0,2024-06-17,2024-06-17
in_000000056074,1,99000,0,0,2024-06-11,2024-06-11
in_000000267238,1,79900,0,0,2024-06-24,2024-06-24
in_000000054410,1,79900,0,0,2024-06-14,2024-06-14
in_000000054231,1,79900,0,0,2024-06-27,2024-06-27
in_000000206384,1,29900,0,0,2024-06-03,2024-06-03
in_000000055793,1,99000,0,0,2024-06-16,2024-06-16
in_000000265474,1,9900,0,0,2024-06-13,2024-06-13
in_000000091573,1,9900,0,0,2024-06-09,2024-06-09
in_000000226076,1,29900,0,0,2024-06-17,2024-06-17
in_000000204200,1,9900,0,0,2024-06-15,2024-06-15
in_000000030765,1,9900,0,0,2024-06-06,2024-06-06
in_000000265339,1,79900,0,0,2024-06-21,2024-06-21
in_000000031155,1,9900,0,0,2024-06-08,2024-06-08
in_000000091041,1,79900,0,0,2024-06-21,2024-06-21
in_000000168840,1,9900,0,0,2024-06-20,2024-06-20
in_000000227054,1,79900,0,0,2024-06-06,2024-06-06
in_000000291914,1,9900,0,0,2024-06-18,2024-06-18
in_000000007906,1,9900,0,0,2024-06-22,2024-06-22
in_000000320135,1,299000,0,0,2024-06-13,2024-06-13
in_000000213040,1,29900,0,0,2024-06-07,2024-06-07
in_000000293050,1,29900,0,0,2024-06-08,2024-06-08
in_000000228751,1,79900,0,0,2024-06-22,2024-06-22
in_000000087094,1,1999000,0,0,2024-06-17,2024-06-17
in_000000187555,1,6435,1,0,2024-06-05,2024-06-11
in_000000176739,1,9900,0,0,2024-06-20,2024-06-20
in_000000128008,1,79900,0,0,2024-06-12,2024-06-12
in_000000296345,1,9900,0,0,2024-06-13,2024-06-13
in_000000107570,1,9900,0,0,2024-06-04,2024-06-04
in_000000243104,1,29900,0,0,2024-06-20,2024-06-20
in_000000127064,1,9900,0,0,2024-06-24,2024-06-24
in_000000117156,1,9900,0,0,2024-06-04,2024-06-04
in_000000106192,1,9900,0,0,2024-06-18,2024-06-18
in_000000202936,1,29900,0,0,2024-06-13,2024-06-13
in_000000043792,1,199900,0,0,2024-06-16,2024-06-16
in_000000231569,1,9900,0,0,2024-06-21,2024-06-21
in_000000305601,1,9900,0,0,2024-06-09,2024-06-09
in_000000239562,1,29900,0,0,2024-06-15,2024-06-15
in_000000253601,1,29900,0,0,2024-06-11,2024-06-11
in_000000008543,1,29900,0,0,2024-06-17,2024-06-17
in_000000041505,1,79900,0,0,2024-06-14,2024-06-14
in_000000081875,1,9900,0,0,2024-06-07,2024-06-07
in_000000004940,1,9900,0,0,2024-06-07,2024-06-07
in_000000183074,1,79900,0,0,2024-06-11,2024-06-11
in_000000297084,1,29900,0,0,2024-06-22,2024-06-22
in_000000197024,1,29900,0,0,2024-06-21,2024-06-21
in_000000113681,1,799000,0,0,2024-06-15,2024-06-15
in_000000179528,1,9900,0,0,2024-06-14,2024-06-14
in_000000274052,1,9900,0,0,2024-06-18,2024-06-18
in_000000273368,1,9900,0,0,2024-06-21,2024-06-21
in_000000119095,1,9900,0,0,2024-06-05,2024-06-05
in_000000058891,1,9900,0,0,2024-06-12,2024-06-12
in_000000058875,1,29900,0,0,2024-06-23,2024-06-23
in_000000206979,1,79900,0,0,2024-06-21,2024-06-21
in_000000272997,1,79900,0,0,2024-06-24,2024-06-24
in_000000100196,1,29900,0,0,2024-06-05,2024-06-05
in_000000154344,1,9900,0,0,2024-06-09,2024-06-09
in_000000121395,1,9900,0,0,2024-06-22,2024-06-22
in_000000214602,1,9900,0,0,2024-06-19,2024-06-19
in_000000283874,1,9900,0,0,2024-06-11,2024-06-11
in_000000157471,1,9900,0,0,2024-06-09,2024-06-09
in_000000157977,1,79900,0,0,2024-06-06,2024-06-06
in_000000134071,1,29900,0,0,2024-06-20,2024-06-20
in_000000029017,1,29900,0,0,2024-06-18,2024-06-18
in_000000292202,1,9900,0,0,2024-06-12,2024-06-12
in_000000171048,1,9900,0,0,2024-06-06,2024-06-06
in_000000125150,1,9900,0,0,2024-06-15,2024-06-15
in_000000030547,1,79900,0,0,2024-06-20,2024-06-20
in_000000191963,1,79900,0,0,2024-06-09,2024-06-09
in_000000017886,1,9900,0,0,2024-06-14,2024-06-14
in_000000281015,1,1999000,0,0,2024-06-20,2024-06-20
in_000000226736,1,299000,0,0,2024-06-17,2024-06-17
in_000000068617,1,9900,0,0,2024-06-03,2024-06-03
in_000000310964,1,9900,0,0,2024-06-13,2024-06-13
in_000000231792,1,199900,0,0,2024-06-05,2024-06-05
in_000000071999,1,9900,0,0,2024-06-06,2024-06-06
in_000000296637,1,29900,0,0,2024-06-09,2024-06-09
in_000000142106,1,29900,0,0,2024-06-14,2024-06-14
in_000000172671,1,199900,0,0,2024-06-21,2024-06-21
in_000000002555,1,79900,0,0,2024-06-23,2024-06-23
in_000000311974,1,9900,0,0,2024-06-08,2024-06-08
in_000000295942,1,9900,0,0,2024-06-15,2024-06-15
in_000000258547,1,79900,0,0,2024-06-12,2024-06-12
in_000000134602,1,9900,0,0,2024-06-11,2024-06-11
in_000000261256,1,79900,0,0,2024-06-20,2024-06-20
in_000000130660,1,29900,0,0,2024-06-15,2024-06-15
in_000000047278,1,9900,0,0,2024-06-19,2024-06-19
in_000000136820,1,9900,0,0,2024-06-13,2024-06-13
in_000000253561,1,29900,0,0,2024-06-08,2024-06-08
in_000000306993,1,29900,0,0,2024-06-23,2024-06-23
in_000000307087,1,79900,0,0,2024-06-23,2024-06-23
in_000000081853,1,79900,0,0,2024-06-18,2024-06-18
in_000000250203,1,79900,0,0,2024-06-08,2024-06-08
in_000000232322,1,29900,0,0,2024-06-15,2024-06-15
in_000000232299,1,29900,0,0,2024-06-11,2024-06-11
in_000000066246,1,29900,0,0,2024-06-08,2024-06-08
in_000000032853,1,29900,0,0,2024-06-12,2024-06-12
in_000000263274,1,9900,0,0,2024-06-14,2024-06-14
in_000000013080,1,9900,0,0,2024-06-10,2024-06-10
in_000000108593,1,9900,0,0,2024-06-16,2024-06-16
in_000000132298,1,9900,0,0,2024-06-21,2024-06-21
in_000000003845,1,9900,0,0,2024-06-11,2024-06-11
in_000000162322,1,9900,0,0,2024-06-08,2024-06-08
in_000000287240,1,9900,0,0,2024-06-20,2024-06-20
in_000000148563,1,79900,0,0,2024-06-16,2024-06-16
in_000000103705,1,9900,0,0,2024-06-20,2024-06-20
in_000000120293,1,79900,0,0,2024-06-14,2024-06-14
in_000000168536,1,9900,0,0,2024-06-16,2024-06-16
in_000000267169,1,9900,0,0,2024-06-12,2024-06-12
in_000000067682,1,9900,0,0,2024-06-14,2024-06-14
in_000000206712,1,9900,0,0,2024-06-22,2024-06-22
in_000000292009,1,9900,0,0,2024-06-09,2024-06-09
in_000000263829,1,79900,0,0,2024-06-19,2024-06-19
in_000000174078,1,79900,0,0,2024-06-13,2024-06-13
in_000000034123,1,9900,0,0,2024-06-16,2024-06-16
in_000000188158,1,29900,0,0,2024-06-11,2024-06-11
in_000000181322,1,9900,0,0,2024-06-22,2024-06-22
in_000000069549,1,99000,0,0,2024-06-08,2024-06-08
in_000000211367,1,79900,0,0,2024-06-15,2024-06-15
in_000000176563,1,29900,0,0,2024-06-18,2024-06-18
in_000000088888,1,79900,0,0,2024-06-12,2024-06-12
in_000000013239,1,9900,0,0,2024-06-23,2024-06-23
in_000000032948,1,9900,0,0,2024-06-21,2024-06-21
in_000000136990,1,79900,0,0,2024-06-10,2024-06-10
in_000000009545,1,9900,0,0,2024-06-22,2024-06-22
in_000000263666,1,29900,0,0,2024-06-06,2024-06-06
in_000000087541,1,99000,0,0,2024-06-05,2024-06-05
in_000000173406,1,9900,0,0,2024-06-12,2024-06-12
in_000000189139,1,79900,0,0,2024-06-22,2024-06-22
in_000000261879,1,9900,0,0,2024-06-08,2024-06-08
in_000000307217,1,29900,0,0,2024-06-25,2024-06-25
in_000000129430,1,29900,0,0,2024-06-08,2024-06-08
in_000000297131,1,99000,0,0,2024-06-14,2024-06-14
in_000000310793,1,9900,0,0,2024-06-24,2024-06-24
in_000000192098,1,29900,0,0,2024-06-21,2024-06-21
in_000000036223,1,79900,0,0,2024-06-16,2024-06-16
in_000000299142,1,79900,0,0,2024-06-22,2024-06-22
in_000000040358,1,99000,0,0,2024-06-05,2024-06-05
in_000000183460,1,29900,0,0,2024-06-14,2024-06-14
in_000000301469,1,79900,0,0,2024-06-16,2024-06-16
in_000000197099,1,199900,0,0,2024-06-20,2024-06-20
in_000000306685,1,9900,0,0,2024-06-18,2024-06-18
in_000000309886,1,29900,0,0,2024-06-06,2024-06-06
in_000000237533,1,199900,0,0,2024-06-18,2024-06-18
in_000000082132,1,29900,0,0,2024-06-26,2024-06-26
in_000000036451,1,29900,0,0,2024-06-25,2024-06-25
in_000000135907,1,9900,0,0,2024-06-08,2024-06-08
in_000000162295,1,9900,0,0,2024-06-10,2024-06-10
in_000000209274,1,9900,0,0,2024-06-20,2024-06-20
in_000000209569,1,29900,0,0,2024-06-08,2024-06-08
in_000000065569,1,79900,0,0,2024-06-05,2024-06-05
in_000000317961,1,79900,0,0,2024-06-23,2024-06-23
in_000000165105,1,9900,0,0,2024-06-07,2024-06-07
in_000000073416,1,29900,0,0,2024-06-06,2024-06-06
in_000000247811,1,9900,0,0,2024-06-14,2024-06-14
in_000000109096,1,79900,0,0,2024-06-24,2024-06-24
in_000000207100,1,29900,0,0,2024-06-18,2024-06-18
in_000000224659,1,29900,0,0,2024-06-20,2024-06-20
in_000000124151,1,9900,0,0,2024-06-16,2024-06-16
in_000000179364,1,9900,0,0,2024-06-20,2024-06-20
in_000000288238,1,79900,0,0,2024-06-08,2024-06-08
in_000000150525,1,9900,0,0,2024-06-21,2024-06-21
in_000000210873,1,9900,0,0,2024-06-09,2024-06-09
in_000000161274,1,9900,0,0,2024-06-21,2024-06-21
in_000000283996,1,79900,0,0,2024-06-23,2024-06-23
in_000000320387,1,29900,0,0,2024-06-12,2024-06-12
in_000000061631,1,79900,0,0,2024-06-16,2024-06-16
in_000000061119,1,8900,1,0,2024-06-12,2024-06-13
in_000000098213,1,79900,0,0,2024-06-14,2024-06-14
in_000000280486,1,79900,0,0,2024-06-10,2024-06-10
in_000000102505,1,79900,0,0,2024-06-08,2024-06-08
in_000000001029,1,199900,0,0,2024-06-08,2024-06-08
in_000000102342,1,29900,0,0,2024-06-09,2024-06-09
in_000000027942,1,29900,0,0,2024-06-05,2024-06-05
in_000000151407,1,29900,0,0,2024-06-23,2024-06-23
in_000000101899,1,9900,0,0,2024-06-08,2024-06-08
in_000000318944,1,9900,0,0,2024-06-12,2024-06-12
in_000000022345,1,79900,0,0,2024-06-22,2024-06-22
in_000000212437,1,29900,0,0,2024-06-04,2024-06-04
in_000000099048,1,79900,0,0,2024-06-21,2024-06-21
in_000000217656,1,9900,0,0,2024-06-21,2024-06-21
in_000000099728,1,29900,0,0,2024-06-11,2024-06-11
in_000000020055,1,29900,0,0,2024-06-18,2024-06-18
in_000000282980,1,199900,0,0,2024-06-11,2024-06-11
in_000000283164,1,9900,0,0,2024-06-13,2024-06-13
in_000000021342,1,29900,0,0,2024-06-17,2024-06-17
in_000000214931,1,9900,0,0,2024-06-19,2024-06-19
in_000000031024,1,75905,1,0,2024-06-09,2024-06-21
in_000000265745,1,79900,0,0,2024-06-16,2024-06-16
in_000000268151,1,29900,0,0,2024-06-11,2024-06-11
in_000000126385,1,59925,1,0,2024-06-04,2024-07-21
in_000000013923,1,9900,0,0,2024-06-26,2024-06-26
in_000000226812,1,79900,0,0,2024-06-20,2024-06-20
in_000000225469,1,9900,0,0,2024-06-18,2024-06-18
in_000000314222,1,29900,0,0,2024-06-09,2024-06-09
in_000000204131,1,9900,0,0,2024-06-08,2024-06-08
in_000000090079,1,9900,0,0,2024-06-06,2024-06-06
in_000000265908,1,9900,0,0,2024-06-16,2024-06-16
in_000000291276,1,9900,0,0,2024-06-25,2024-06-25
in_000000228022,1,29900,0,0,2024-06-25,2024-06-25
in_000000015662,1,9900,0,0,2024-06-13,2024-06-13
in_000000281168,1,9900,0,0,2024-06-08,2024-06-08
in_000000311771,1,29900,0,0,2024-06-07,2024-06-07
in_000000034280,1,9900,0,0,2024-06-23,2024-06-23
in_000000079177,1,79900,0,0,2024-06-25,2024-06-25
in_000000071704,1,9900,0,0,2024-06-22,2024-06-22
in_000000243239,1,199900,0,0,2024-06-09,2024-06-09
in_000000305208,1,9900,0,0,2024-06-12,2024-06-12
in_000000305196,1,9900,0,0,2024-06-05,2024-06-05
in_000000127845,1,9900,0,0,2024-06-10,2024-06-10
in_000000261817,1,9900,0,0,2024-06-03,2024-06-03
in_000000033076,1,9900,0,0,2024-06-17,2024-06-17
in_000000201572,1,9900,0,0,2024-06-21,2024-06-21
in_000000181478,1,29900,0,0,2024-06-26,2024-06-26
in_000000038907,1,9900,0,0,2024-06-05,2024-06-05
in_000000301979,1,9900,0,0,2024-06-16,2024-06-16
in_000000111059,1,29900,0,0,2024-06-12,2024-06-12
in_000000181117,1,99000,0,0,2024-06-08,2024-06-08
in_000000131395,1,79900,0,0,2024-06-20,2024-06-20
in_000000237993,1,9900,0,0,2024-06-21,2024-06-21
in_000000182879,1,29900,0,0,2024-06-07,2024-06-07
in_000000187191,1,29900,0,0,2024-06-06,2024-06-06
in_000000141124,1,79900,0,0,2024-06-23,2024-06-23
in_000000041779,1,9900,0,0,2024-06-06,2024-06-06
in_000000221479,1,4950,1,0,2024-06-16,2024-07-17
in_000000150789,1,79900,0,0,2024-06-10,2024-06-10
in_000000059535,1,79900,0,0,2024-06-14,2024-06-14
in_000000210297,1,9900,0,0,2024-06-17,2024-06-17
in_000000095536,1,29900,0,0,2024-06-05,2024-06-05
in_000000210261,1,79900,0,0,2024-06-22,2024-06-22
in_000000224582,1,29900,0,0,2024-06-05,2024-06-05
in_000000218203,1,9900,0,0,2024-06-17,2024-06-17
in_000000104942,1,9900,0,0,2024-06-17,2024-06-17
in_000000204280,1,29900,0,0,2024-06-14,2024-06-14
in_000000101587,1,199900,0,0,2024-06-08,2024-06-08
in_000000265648,1,99000,0,0,2024-06-15,2024-06-15
in_000000200434,1,29900,0,0,2024-06-14,2024-06-14
in_000000086330,1,9900,0,0,2024-06-16,2024-06-16
in_000000307247,1,29900,0,0,2024-06-16,2024-06-16
in_000000308441,1,79900,0,0,2024-06-20,2024-06-20
in_000000183041,1,9900,0,0,2024-06-18,2024-06-18
in_000000241367,1,99000,0,0,2024-06-21,2024-06-21
in_000000273298,1,79900,0,0,2024-06-17,2024-06-17
in_000000016217,1,9900,0,0,2024-06-18,2024-06-18
in_000000065869,1,79900,0,0,2024-06-15,2024-06-15
in_000000269969,1,29900,0,0,2024-06-16,2024-06-16
in_000000288938,1,29900,0,0,2024-06-15,2024-06-15
in_000000222492,1,9900,0,0,2024-06-24,2024-06-24
in_000000057527,1,29900,0,0,2024-06-16,2024-06-16
in_000000100859,1,9900,0,0,2024-06-10,2024-06-10
in_000000284050,1,199900,0,0,2024-06-06,2024-06-06
in_000000215872,1,79900,0,0,2024-06-14,2024-06-14
in_000000213063,1,29900,0,0,2024-06-07,2024-06-07
in_000000063901,1,9900,0,0,2024-06-11,2024-06-11
in_000000169578,1,8415,1,0,2024-06-14,2024-08-12
in_000000126108,1,79900,0,0,2024-06-26,2024-06-26
in_000000144963,1,9900,0,0,2024-06-17,2024-06-17
in_000000315382,1,9900,0,0,2024-06-07,2024-06-07
in_000000068600,1,29900,0,0,2024-06-14,2024-06-14
in_000000105510,1,99000,0,0,2024-06-19,2024-06-19
in_000000267702,1,9900,0,0,2024-06-07,2024-06-07
in_000000069131,1,29900,0,0,2024-06-13,2024-06-13
in_000000268203,1,29900,0,0,2024-06-21,2024-06-21
in_000000277780,1,199900,0,0,2024-06-15,2024-06-15
in_000000168955,1,9900,0,0,2024-06-16,2024-06-16
in_000000187567,1,799000,0,0,2024-06-12,2024-06-12
in_000000296231,1,79900,0,0,2024-06-03,2024-06-03
in_000000260766,1,9900,0,0,2024-06-19,2024-06-19
in_000000261735,1,189905,1,0,2024-06-05,2024-09-02
in_000000312625,1,9900,0,0,2024-06-12,2024-06-12
in_000000172232,1,29900,0,0,2024-06-15,2024-06-15
in_000000077893,1,9900,0,0,2024-06-21,2024-06-21
in_000000174008,1,9900,0,0,2024-06-13,2024-06-13
in_000000304197,1,199900,0,0,2024-06-08,2024-06-08
in_000000260489,1,79900,0,0,2024-06-04,2024-06-04
in_000000181570,1,199900,0,0,2024-06-25,2024-06-25
in_000000300325,1,99000,0,0,2024-06-17,2024-06-17
in_000000185006,1,29900,0,0,2024-06-10,2024-06-10
in_000000248617,1,9900,0,0,2024-06-10,2024-06-10
in_000000195089,1,9900,0,0,2024-06-13,2024-06-13
in_000000050335,1,9900,0,0,2024-06-11,2024-06-11
in_000000281151,1,199900,0,0,2024-06-13,2024-06-13
in_000000211983,1,29900,0,0,2024-06-20,2024-06-20
in_000000226565,1,9900,0,0,2024-06-22,2024-06-22
in_000000073380,1,299000,0,0,2024-06-04,2024-06-04
in_000000107056,1,79900,0,0,2024-06-06,2024-06-06
in_000000116953,1,299000,0,0,2024-06-23,2024-06-23
