INVOICE_ID,PROCESSOR_BALANCE_AMOUNT_CENTS,PROCESSOR_CAPTURED_CHARGE_COUNT,PROCESSOR_UNCAPTURED_CHARGE_COUNT,PROCESSOR_FAILED_CHARGE_COUNT,HAS_REFUND_ACTIVITY,HAS_DISPUTE_ACTIVITY,HAS_DISPUTE_RAISED,HAS_DISPUTE_REVERSAL,HAS_CHARGE_WITHOUT_BALANCE,HAS_BALANCE_WITHOUT_CHARGE,FIRST_CHARGE_AVAILABLE_DATE,LAST_CHARGE_AVAILABLE_DATE
in_000000255283,9900,1,0,1,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000064705,9900,1,0,2,0,0,0,0,0,0,2024-06-24,2024-06-24
in_000000246747,9900,1,0,1,0,0,0,0,0,0,2024-06-06,2024-06-06
in_000000162504,299000,1,0,2,0,0,0,0,0,0,2024-06-18,2024-06-18
in_000000233856,29900,1,0,1,0,0,0,0,0,0,2024-06-15,2024-06-15
in_000000080796,29900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000028060,79900,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000028524,9900,1,0,1,0,0,0,0,0,0,2024-06-18,2024-06-18
in_000000145444,9900,1,0,2,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000300757,9900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000015322,29900,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000276110,9900,1,0,1,0,0,0,0,0,0,2024-06-24,2024-06-24
in_000000005344,29900,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000251380,79900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000127729,29900,1,0,1,0,0,0,0,0,0,2024-06-13,2024-06-13
in_000000077247,9900,1,0,2,0,0,0,0,0,0,2024-06-18,2024-06-18
in_000000273483,79900,1,0,1,0,0,0,0,0,0,2024-06-10,2024-06-10
in_000000087738,9900,1,0,1,0,0,0,0,0,0,2024-06-18,2024-06-18
in_000000153679,9900,1,0,1,0,0,0,0,0,0,2024-06-18,2024-06-18
in_000000141646,79900,1,0,1,0,0,0,0,0,0,2024-06-10,2024-06-10
in_000000059535,79900,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000266997,79900,1,0,1,0,0,0,0,0,0,2024-06-04,2024-06-04
in_000000279810,9900,1,0,1,0,0,0,0,0,0,2024-06-24,2024-06-24
in_000000188339,79900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000013972,9900,1,0,1,0,0,0,0,0,0,2024-06-21,2024-06-21
in_000000243466,199900,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000237239,9900,1,0,1,0,0,0,0,0,0,2024-06-18,2024-06-18
in_000000210191,29900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000189698,9900,1,0,2,0,0,0,0,0,0,2024-06-24,2024-06-24
in_000000031100,29900,1,0,2,0,0,0,0,0,0,2024-06-18,2024-06-18
in_000000184859,9900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000093911,9900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000103385,299000,1,0,2,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000115306,29900,1,0,2,0,0,0,0,0,0,2024-06-25,2024-06-25
in_000000016516,29900,1,0,1,0,0,0,0,0,0,2024-06-12,2024-06-12
in_000000309326,29900,1,0,2,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000270618,29900,1,0,1,0,0,0,0,0,0,2024-06-15,2024-06-15
in_000000045981,29900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000305499,9900,1,0,1,0,0,0,0,0,0,2024-06-13,2024-06-13
in_000000089071,29900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000270413,29900,1,0,2,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000262257,299000,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000301927,9900,1,0,1,0,0,0,0,0,0,2024-06-21,2024-06-21
in_000000003845,9900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000012052,9900,1,0,1,0,0,0,0,0,0,2024-06-18,2024-06-18
in_000000195864,299000,1,0,1,0,0,0,0,0,0,2024-06-17,2024-06-17
in_000000111042,199900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000222559,79900,1,0,1,0,0,0,0,0,0,2024-06-26,2024-06-26
in_000000085903,29900,1,0,1,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000020821,9900,1,0,1,0,0,0,0,0,0,2024-06-24,2024-06-24
in_000000022991,79900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000095107,9900,1,0,1,0,0,0,0,0,0,2024-06-13,2024-06-13
in_000000285255,199900,1,0,2,0,0,0,0,0,0,2024-06-25,2024-06-25
in_000000159553,9900,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000195737,29900,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000232287,29900,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000043180,299000,1,0,2,0,0,0,0,0,0,2024-06-22,2024-06-22
in_000000077161,79900,1,0,1,0,0,0,0,0,0,2024-06-24,2024-06-24
in_000000267449,9900,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000202653,199900,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000271408,79900,1,0,1,0,0,0,0,0,0,2024-06-24,2024-06-24
in_000000034538,9900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000262564,199900,1,0,1,0,0,0,0,0,0,2024-06-13,2024-06-13
in_000000234291,9900,1,0,1,0,0,0,0,0,0,2024-06-12,2024-06-12
in_000000222893,29900,1,0,1,0,0,0,0,0,0,2024-06-18,2024-06-18
in_000000133248,29900,1,0,1,0,0,0,0,0,0,2024-06-26,2024-06-26
in_000000098318,29900,1,0,1,0,0,0,0,0,0,2024-06-10,2024-06-10
in_000000106867,9900,1,0,1,0,0,0,0,0,0,2024-06-10,2024-06-10
in_000000023133,9900,1,0,1,0,0,0,0,0,0,2024-06-18,2024-06-18
in_000000154497,9900,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000194569,199900,1,0,1,0,0,0,0,0,0,2024-06-18,2024-06-18
in_000000091473,9900,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000289142,9900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000229429,9900,1,0,1,0,0,0,0,0,0,2024-06-12,2024-06-12
in_000000231808,29900,1,0,1,0,0,0,0,0,0,2024-06-06,2024-06-06
in_000000271636,9900,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000272064,79900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000310705,79900,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000026006,9900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000218589,29900,1,0,1,0,0,0,0,0,0,2024-06-24,2024-06-24
in_000000004911,199900,1,0,1,0,0,0,0,0,0,2024-06-12,2024-06-12
in_000000194354,79900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000026594,29900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000027254,199900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000032402,29900,1,0,1,0,0,0,0,0,0,2024-06-13,2024-06-13
in_000000102858,9900,1,0,1,0,0,0,0,0,0,2024-06-15,2024-06-15
in_000000013808,29900,1,0,1,0,0,0,0,0,0,2024-06-24,2024-06-24
in_000000228681,79900,1,0,1,0,0,0,0,0,0,2024-06-10,2024-06-10
in_000000151470,9900,1,0,1,0,0,0,0,0,0,2024-06-12,2024-06-12
in_000000016990,9900,1,0,1,0,0,0,0,0,0,2024-06-06,2024-06-06
in_000000117716,29900,1,0,2,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000257881,9900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000220562,9900,1,0,1,0,0,0,0,0,0,2024-06-17,2024-06-17
in_000000303133,99000,1,0,1,0,0,0,0,0,0,2024-06-17,2024-06-17
in_000000017802,9900,1,0,1,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000198349,99000,1,0,1,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000302868,9900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000088453,79900,1,0,1,0,0,0,0,0,0,2024-06-04,2024-06-04
in_000000237929,9900,1,0,1,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000037125,9900,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000043141,9900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000211375,99000,1,0,1,0,0,0,0,0,0,2024-06-04,2024-06-04
in_000000044629,9900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000147851,9900,1,0,1,0,0,0,0,0,0,2024-06-21,2024-06-21
in_000000164697,29900,1,0,1,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000109815,9900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000012483,29900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000070366,29900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000166572,9900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000311883,9900,1,0,1,0,0,0,0,0,0,2024-06-24,2024-06-24
in_000000257441,9900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000283418,199900,1,0,1,0,0,0,0,0,0,2024-06-21,2024-06-21
in_000000127694,79900,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000041021,9900,1,0,1,0,0,0,0,0,0,2024-06-05,2024-06-05
in_000000033163,299000,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000272490,199900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000313266,29900,1,0,1,0,0,0,0,0,0,2024-06-26,2024-06-26
in_000000045930,9900,1,0,1,0,0,0,0,0,0,2024-06-13,2024-06-13
in_000000003774,9900,1,0,1,0,0,0,0,0,0,2024-06-21,2024-06-21
in_000000060460,9900,1,0,1,0,0,0,0,0,0,2024-06-13,2024-06-13
in_000000311487,9900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000269027,29900,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000168782,9900,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000092176,79900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000079757,29900,1,0,1,0,0,0,0,0,0,2024-06-27,2024-06-27
in_000000149376,29900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000008391,29900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000126929,199900,1,0,2,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000303116,9900,1,0,1,0,0,0,0,0,0,2024-06-26,2024-06-26
in_000000295308,79900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000094181,9900,1,0,1,0,0,0,0,0,0,2024-06-22,2024-06-22
in_000000233702,199900,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000017726,29900,1,0,1,0,0,0,0,0,0,2024-06-25,2024-06-25
in_000000136755,9900,1,0,1,0,0,0,0,0,0,2024-06-17,2024-06-17
in_000000198864,29900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000280462,9900,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000123010,29900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000036845,9900,1,0,2,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000153384,9900,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000091573,9900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000254643,9900,1,0,2,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000097550,99000,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000072949,29900,1,0,1,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000016745,9900,1,0,1,0,0,0,0,0,0,2024-06-04,2024-06-04
in_000000115495,9900,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000194397,29900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000269063,29900,1,0,1,0,0,0,0,0,0,2024-06-10,2024-06-10
in_000000102065,9900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000056830,9900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000169816,9900,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000141223,9900,1,0,1,0,0,0,0,0,0,2024-06-17,2024-06-17
in_000000176194,9900,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000135353,29900,1,0,1,0,0,0,0,0,0,2024-06-18,2024-06-18
in_000000261609,29900,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000167915,9900,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000259130,9900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000098265,9900,1,0,2,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000086629,199900,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000302738,79900,1,0,1,0,0,0,0,0,0,2024-06-21,2024-06-21
in_000000124653,9900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000157218,9900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000068298,29900,1,0,1,0,0,0,0,0,0,2024-06-13,2024-06-13
in_000000099144,9900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000166316,9900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000160638,29900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000236146,9900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000035758,9900,1,0,2,0,0,0,0,0,0,2024-06-15,2024-06-15
in_000000227968,9900,1,0,1,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000315692,29900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000012447,29900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000229555,79900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000224353,9900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000170899,99000,1,0,2,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000245765,299000,1,0,1,0,0,0,0,0,0,2024-06-17,2024-06-17
in_000000098775,79900,1,0,1,0,0,0,0,0,0,2024-06-13,2024-06-13
in_000000254237,29900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000283931,29900,1,0,2,0,0,0,0,0,0,2024-06-17,2024-06-17
in_000000291254,9900,1,0,1,0,0,0,0,0,0,2024-06-22,2024-06-22
in_000000074466,99000,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000159061,9900,1,0,1,0,0,0,0,0,0,2024-06-15,2024-06-15
in_000000171995,29900,1,0,1,0,0,0,0,0,0,2024-06-27,2024-06-27
in_000000212162,9900,1,0,1,0,0,0,0,0,0,2024-06-17,2024-06-17
in_000000066083,9900,1,0,1,0,0,0,0,0,0,2024-06-04,2024-06-04
in_000000075637,9900,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000001915,9900,1,0,1,0,0,0,0,0,0,2024-06-22,2024-06-22
in_000000256727,9900,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000306919,9900,1,0,1,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000262480,9900,1,0,1,0,0,0,0,0,0,2024-06-22,2024-06-22
in_000000163640,79900,1,0,2,0,0,0,0,0,0,2024-06-17,2024-06-17
in_000000094785,29900,1,0,1,0,0,0,0,0,0,2024-06-25,2024-06-25
in_000000024751,9900,1,0,1,0,0,0,0,0,0,2024-06-26,2024-06-26
in_000000163120,9900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000309563,9900,1,0,1,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000187999,9900,1,0,1,0,0,0,0,0,0,2024-06-22,2024-06-22
in_000000272567,9900,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000070113,29900,1,0,1,0,0,0,0,0,0,2024-06-18,2024-06-18
in_000000207648,9900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000128118,29900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000266021,79900,1,0,1,0,0,0,0,0,0,2024-06-25,2024-06-25
in_000000146368,9900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000017983,199900,1,0,1,0,0,0,0,0,0,2024-06-21,2024-06-21
in_000000271037,9900,1,0,1,0,0,0,0,0,0,2024-06-13,2024-06-13
in_000000296865,9900,1,0,1,0,0,0,0,0,0,2024-06-12,2024-06-12
in_000000020961,29900,1,0,1,0,0,0,0,0,0,2024-06-13,2024-06-13
in_000000165910,29900,1,0,2,0,0,0,0,0,0,2024-06-15,2024-06-15
in_000000027979,29900,1,0,2,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000294764,199900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000204792,9900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000257096,29900,1,0,2,0,0,0,0,0,0,2024-06-22,2024-06-22
in_000000307087,79900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000003322,9900,1,0,2,0,0,0,0,0,0,2024-06-25,2024-06-25
in_000000268451,9900,1,0,1,0,0,0,0,0,0,2024-06-17,2024-06-17
in_000000043900,9900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000315181,9900,1,0,1,0,0,0,0,0,0,2024-06-12,2024-06-12
in_000000158525,79900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000264101,29900,1,0,1,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000162462,9900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000118110,9900,1,0,1,0,0,0,0,0,0,2024-06-21,2024-06-21
in_000000208275,29900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000299297,29900,1,0,1,0,0,0,0,0,0,2024-06-21,2024-06-21
in_000000221123,29900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000020899,9900,1,0,1,0,0,0,0,0,0,2024-06-24,2024-06-24
in_000000158072,29900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000041311,9900,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000112232,29900,1,0,1,0,0,0,0,0,0,2024-06-26,2024-06-26
in_000000158534,299000,1,0,1,0,0,0,0,0,0,2024-06-22,2024-06-22
in_000000124710,799000,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000250850,9900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000076556,9900,1,0,1,0,0,0,0,0,0,2024-06-06,2024-06-06
in_000000267513,79900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000126716,9900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000163378,9900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000223738,9900,1,0,1,0,0,0,0,0,0,2024-06-12,2024-06-12
in_000000306043,29900,1,0,1,0,0,0,0,0,0,2024-06-21,2024-06-21
in_000000123726,299000,1,0,2,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000026304,29900,1,0,2,0,0,0,0,0,0,2024-06-21,2024-06-21
in_000000107932,299000,1,0,1,0,0,0,0,0,0,2024-06-17,2024-06-17
in_000000097020,9900,1,0,2,0,0,0,0,0,0,2024-06-15,2024-06-15
in_000000175797,9900,1,0,1,0,0,0,0,0,0,2024-06-06,2024-06-06
in_000000262436,26910,1,0,1,1,0,0,0,0,0,2024-06-10,2024-06-10
in_000000237449,9900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000150399,29900,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000162230,9900,1,0,2,0,0,0,0,0,0,2024-06-13,2024-06-13
in_000000307771,29900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000087441,29900,1,0,1,0,0,0,0,0,0,2024-06-05,2024-06-05
