INVOICE_ID,CUSTOMER_ID,INVOICE_AMOUNT_PAID_CENTS
in_000000153114,cus_000000012234,9900
in_000000153226,cus_000000012247,9900
in_000000153901,cus_000000012315,29900
in_000000153936,cus_000000012317,9900
in_000000153985,cus_000000012320,29900
in_000000154006,cus_000000012321,9900
in_000000154034,cus_000000012324,299000
in_000000153492,cus_000000012273,799000
in_000000154454,cus_000000012347,29900
in_000000154643,cus_000000012358,9900
in_000000154650,cus_000000012359,9900
in_000000154692,cus_000000012362,9900
in_000000153821,cus_000000012312,29900
in_000000154276,cus_000000012335,79900
in_000000155063,cus_000000012396,29900
in_000000155175,cus_000000012408,9900
in_000000155455,cus_000000012434,9900
in_000000154395,cus_000000012343,9900
in_000000154423,cus_000000012346,9900
in_000000154528,cus_000000012352,29900
in_000000154563,cus_000000012354,9900
in_000000154577,cus_000000012355,79900
in_000000167976,cus_000000013396,199900
in_000000167990,cus_000000013397,29900
in_000000168060,cus_000000013402,29900
in_000000168158,cus_000000013413,9900
in_000000168179,cus_000000013418,199900
in_000000168186,cus_000000013419,199900
in_000000154969,cus_000000012387,29900
in_000000155123,cus_000000012404,9900
in_000000155130,cus_000000012405,29900
in_000000155431,cus_000000012432,29900
in_000000160043,cus_000000012784,79900
in_000000160302,cus_000000012807,29900
in_000000160533,cus_000000012831,29900
in_000000160540,cus_000000012832,29900
in_000000155970,cus_000000012468,9900
in_000000168536,cus_000000013449,9900
in_000000169047,cus_000000013495,9900
in_000000169061,cus_000000013496,9900
in_000000160638,cus_000000012839,29900
in_000000160925,cus_000000012860,29900
in_000000169131,cus_000000013502,29900
in_000000169222,cus_000000013510,9900
in_000000169243,cus_000000013511,79900
in_000000169313,cus_000000013516,9900
in_000000169362,cus_000000013518,9900
in_000000169418,cus_000000013521,29900
in_000000169467,cus_000000013525,29900
in_000000169530,cus_000000013533,29900
in_000000161373,cus_000000012899,9900
in_000000161443,cus_000000012902,9900
in_000000161674,cus_000000012918,9900
in_000000161709,cus_000000012919,199900
in_000000152783,cus_000000012208,29900
in_000000152818,cus_000000012210,79900
in_000000152839,cus_000000012212,29900
in_000000153035,cus_000000012228,79900
in_000000161947,cus_000000012940,9900
in_000000162052,cus_000000012947,9900
in_000000162129,cus_000000012956,29900
in_000000162353,cus_000000012975,299000
in_000000162591,cus_000000013001,9900
in_000000162696,cus_000000013007,9900
in_000000162801,cus_000000013014,9900
in_000000162822,cus_000000013018,299000
in_000000169740,cus_000000013549,79900
in_000000169761,cus_000000013552,29900
in_000000169768,cus_000000013553,99000
in_000000169943,cus_000000013571,9900
in_000000170034,cus_000000013577,9900
in_000000170111,cus_000000013583,9900
in_000000170139,cus_000000013584,9900
in_000000170181,cus_000000013589,99000
in_000000163137,cus_000000013041,29900
in_000000163319,cus_000000013052,79900
in_000000170209,cus_000000013592,9900
in_000000170321,cus_000000013599,79900
in_000000170566,cus_000000013615,79900
in_000000163515,cus_000000013065,29900
in_000000163571,cus_000000013070,9900
in_000000163655,cus_000000013078,199900
in_000000163893,cus_000000013089,79900
in_000000171224,cus_000000013673,9900
in_000000164012,cus_000000013094,29900
in_000000164404,cus_000000013118,9900
in_000000156621,cus_000000012510,29900
in_000000164600,cus_000000013135,29900
in_000000164677,cus_000000013142,9900
in_000000164726,cus_000000013145,199900
in_000000164768,cus_000000013149,99000
in_000000165139,cus_000000013182,29900
in_000000165566,cus_000000013213,199900
in_000000153259,cus_000000012255,29900
in_000000153413,cus_000000012262,79900
in_000000153679,cus_000000012293,9900
in_000000153714,cus_000000012296,29900
in_000000153735,cus_000000012298,9900
in_000000165699,cus_000000013224,29900
in_000000165748,cus_000000013230,29900
in_000000166070,cus_000000013253,9900
in_000000151900,cus_000000012140,79900
in_000000151984,cus_000000012147,29900
in_000000166623,cus_000000013295,199900
in_000000166686,cus_000000013297,9900
in_000000166714,cus_000000013299,29900
in_000000166749,cus_000000013300,9900
in_000000154106,cus_000000012328,29900
in_000000154134,cus_000000012329,29900
in_000000154344,cus_000000012340,9900
in_000000155560,cus_000000012440,29900
in_000000155595,cus_000000012442,9900
in_000000155826,cus_000000012459,9900
in_000000155861,cus_000000012460,199900
in_000000155896,cus_000000012461,79900
in_000000155952,cus_000000012463,29900
in_000000171392,cus_000000013689,9900
in_000000171504,cus_000000013696,199900
in_000000171539,cus_000000013698,9900
in_000000156649,cus_000000012512,29900
in_000000156873,cus_000000012532,29900
in_000000166882,cus_000000013310,9900
in_000000166917,cus_000000013312,79900
in_000000167078,cus_000000013321,9900
in_000000167190,cus_000000013333,79900
in_000000167211,cus_000000013335,9900
in_000000156120,cus_000000012479,79900
in_000000156225,cus_000000012483,29900
in_000000156260,cus_000000012485,9900
in_000000156295,cus_000000012487,79900
in_000000156386,cus_000000012495,199900
in_000000156442,cus_000000012500,29900
in_000000154610,cus_000000012357,9900
in_000000154701,cus_000000012364,9900
in_000000154855,cus_000000012374,9900
in_000000152446,cus_000000012182,29900
in_000000172211,cus_000000013750,9900
in_000000172232,cus_000000013751,29900
in_000000172302,cus_000000013756,199900
in_000000172372,cus_000000013759,199900
in_000000172407,cus_000000013761,199900
in_000000156932,cus_000000012536,29900
in_000000157002,cus_000000012539,29900
in_000000157135,cus_000000012550,9900
in_000000153083,cus_000000012233,29900
in_000000153132,cus_000000012236,29900
in_000000167603,cus_000000013360,29900
in_000000157471,cus_000000012576,9900
in_000000157674,cus_000000012590,79900
in_000000157877,cus_000000012610,9900
in_000000158003,cus_000000012631,29900
in_000000158304,cus_000000012649,29900
in_000000172715,cus_000000013788,9900
in_000000172736,cus_000000013790,9900
in_000000172827,cus_000000013793,9900
in_000000172939,cus_000000013805,29900
in_000000168555,cus_000000013450,9900
in_000000168632,cus_000000013458,29900
in_000000168968,cus_000000013488,9900
in_000000154988,cus_000000012388,79900
in_000000155163,cus_000000012407,9900
in_000000155338,cus_000000012428,9900
in_000000173177,cus_000000013822,29900
in_000000173464,cus_000000013849,9900
in_000000169388,cus_000000013520,9900
in_000000169612,cus_000000013537,9900
in_000000155520,cus_000000012438,299000
in_000000155590,cus_000000012441,79900
in_000000155793,cus_000000012457,9900
in_000000155968,cus_000000012467,299000
in_000000156003,cus_000000012469,9900
in_000000156010,cus_000000012470,99000
in_000000156024,cus_000000012471,9900
in_000000156066,cus_000000012475,29900
in_000000173828,cus_000000013886,79900
in_000000173961,cus_000000013898,79900
in_000000158381,cus_000000012656,9900
in_000000158444,cus_000000012662,9900
in_000000158472,cus_000000012664,9900
in_000000158507,cus_000000012665,9900
in_000000158703,cus_000000012682,29900
in_000000174311,cus_000000013921,9900
in_000000174388,cus_000000013928,29900
in_000000174549,cus_000000013943,29900
in_000000156150,cus_000000012480,9900
in_000000156416,cus_000000012497,79900
in_000000156521,cus_000000012504,29900
in_000000156556,cus_000000012506,29900
in_000000156605,cus_000000012509,9900
in_000000175067,cus_000000013985,99000
in_000000156710,cus_000000012514,79900
in_000000157116,cus_000000012548,199900
in_000000157186,cus_000000012552,29900
in_000000158955,cus_000000012694,9900
in_000000159011,cus_000000012699,9900
in_000000159144,cus_000000012707,99000
in_000000159277,cus_000000012722,9900
in_000000175480,cus_000000014015,199900
in_000000175662,cus_000000014027,79900
in_000000159879,cus_000000012772,9900
in_000000159942,cus_000000012776,29900
in_000000160103,cus_000000012789,9900
in_000000160145,cus_000000012793,9900
in_000000160271,cus_000000012806,199900
in_000000160726,cus_000000012845,79900
in_000000160761,cus_000000012848,29900
in_000000161244,cus_000000012887,29900
in_000000161594,cus_000000012911,29900
in_000000161622,cus_000000012912,29900
in_000000162168,cus_000000012958,9900
in_000000162182,cus_000000012960,199900
in_000000162322,cus_000000012971,9900
in_000000162343,cus_000000012972,9900
in_000000162462,cus_000000012982,9900
in_000000162504,cus_000000012991,299000
in_000000162518,cus_000000012992,29900
in_000000162728,cus_000000013010,29900
in_000000162756,cus_000000013012,799000
in_000000162812,cus_000000013016,9900
in_000000163120,cus_000000013039,9900
in_000000163197,cus_000000013047,99000
in_000000163302,cus_000000013051,9900
in_000000163351,cus_000000013053,9900
in_000000163484,cus_000000013061,29900
in_000000163673,cus_000000013079,9900
in_000000163743,cus_000000013082,9900
in_000000163813,cus_000000013085,9900
in_000000164492,cus_000000013123,79900
in_000000164758,cus_000000013147,9900
in_000000164793,cus_000000013150,9900
in_000000164996,cus_000000013171,79900
in_000000176019,cus_000000014060,9900
in_000000176103,cus_000000014064,29900
in_000000176117,cus_000000014065,9900
in_000000176145,cus_000000014067,9900
in_000000176194,cus_000000014071,9900
in_000000165192,cus_000000013186,79900
in_000000165248,cus_000000013188,79900
in_000000165367,cus_000000013198,299000
in_000000165409,cus_000000013206,29900
in_000000157732,cus_000000012593,79900
in_000000157767,cus_000000012598,29900
in_000000157942,cus_000000012621,29900
in_000000157977,cus_000000012625,79900
in_000000157984,cus_000000012627,29900
in_000000157991,cus_000000012630,9900
in_000000158600,cus_000000012674,29900
in_000000158635,cus_000000012679,9900
in_000000151639,cus_000000012115,29900
in_000000151702,cus_000000012125,299000
in_000000151800,cus_000000012134,29900
in_000000151940,cus_000000012145,9900
in_000000151996,cus_000000012149,29900
in_000000152115,cus_000000012160,29900
in_000000152136,cus_000000012161,9900
in_000000152479,cus_000000012183,9900
in_000000152724,cus_000000012206,9900
in_000000153186,cus_000000012242,29900
in_000000153361,cus_000000012260,9900
in_000000153501,cus_000000012275,9900
in_000000153592,cus_000000012283,9900
in_000000153753,cus_000000012303,79900
in_000000153781,cus_000000012306,9900
in_000000154201,cus_000000012331,29900
in_000000154208,cus_000000012332,99000
in_000000176586,cus_000000014100,29900
in_000000176684,cus_000000014110,79900
in_000000176950,cus_000000014126,29900
in_000000176957,cus_000000014127,79900
in_000000158915,cus_000000012692,9900
in_000000159041,cus_000000012700,9900
in_000000155258,cus_000000012423,79900
in_000000155384,cus_000000012430,9900
in_000000155398,cus_000000012431,9900
in_000000159538,cus_000000012750,9900
in_000000159930,cus_000000012775,9900
in_000000155510,cus_000000012436,9900
in_000000155776,cus_000000012456,9900
in_000000160175,cus_000000012795,29900
in_000000160392,cus_000000012818,29900
in_000000160420,cus_000000012821,29900
in_000000156336,cus_000000012490,199900
in_000000160756,cus_000000012847,29900
in_000000160952,cus_000000012861,9900
in_000000176999,cus_000000014130,9900
in_000000177069,cus_000000014137,79900
in_000000177153,cus_000000014147,9900
in_000000177174,cus_000000014149,9900
in_000000177244,cus_000000014156,29900
in_000000177328,cus_000000014165,9900
in_000000153384,cus_000000012261,9900
in_000000153447,cus_000000012263,79900
in_000000153531,cus_000000012276,79900
in_000000153762,cus_000000012304,799000
in_000000153790,cus_000000012307,9900
in_000000165927,cus_000000013243,199900
in_000000161232,cus_000000012885,9900
in_000000161274,cus_000000012889,9900
in_000000161652,cus_000000012915,9900
in_000000177643,cus_000000014190,99000
in_000000177762,cus_000000014201,99000
in_000000177797,cus_000000014206,79900
in_000000177909,cus_000000014211,9900
in_000000178028,cus_000000014220,9900
in_000000178077,cus_000000014223,9900
in_000000161848,cus_000000012931,29900
in_000000161967,cus_000000012943,799000
in_000000162072,cus_000000012951,9900
in_000000178252,cus_000000014233,29900
in_000000178301,cus_000000014240,9900
in_000000178448,cus_000000014260,9900
in_000000178616,cus_000000014273,79900
in_000000162471,cus_000000012983,9900
in_000000178784,cus_000000014283,9900
in_000000178924,cus_000000014292,29900
in_000000179029,cus_000000014304,79900
in_000000179155,cus_000000014311,9900
in_000000179162,cus_000000014313,29900
in_000000163024,cus_000000013034,799000
in_000000163220,cus_000000013048,199900
in_000000163276,cus_000000013050,79900
in_000000179295,cus_000000014324,99000
in_000000179484,cus_000000014337,9900
in_000000179722,cus_000000014357,9900
in_000000163640,cus_000000013075,79900
in_000000163976,cus_000000013093,79900
in_000000164060,cus_000000013098,79900
in_000000164095,cus_000000013099,9900
in_000000164235,cus_000000013109,9900
in_000000164270,cus_000000013111,29900
in_000000164284,cus_000000013112,199900
in_000000164312,cus_000000013113,9900
in_000000169661,cus_000000013544,9900
in_000000169843,cus_000000013559,29900
in_000000169927,cus_000000013568,79900
in_000000166270,cus_000000013270,199900
in_000000166473,cus_000000013280,29900
in_000000166536,cus_000000013287,9900
in_000000166655,cus_000000013296,29900
in_000000164655,cus_000000013139,9900
in_000000164697,cus_000000013143,29900
in_000000164844,cus_000000013155,9900
in_000000164949,cus_000000013163,29900
in_000000164984,cus_000000013169,29900
in_000000165047,cus_000000013177,79900
in_000000166956,cus_000000013315,199900
in_000000167110,cus_000000013323,29900
in_000000167348,cus_000000013345,9900
in_000000165152,cus_000000013183,9900
in_000000165432,cus_000000013208,79900
in_000000165649,cus_000000013221,9900
in_000000170284,cus_000000013595,9900
in_000000170340,cus_000000013601,29900
in_000000170403,cus_000000013603,79900
in_000000170536,cus_000000013614,299000
in_000000170578,cus_000000013617,29900
in_000000170704,cus_000000013629,299000
in_000000165782,cus_000000013231,79900
in_000000165803,cus_000000013235,9900
in_000000165978,cus_000000013246,9900
in_000000166034,cus_000000013250,9900
in_000000166104,cus_000000013258,79900
in_000000166153,cus_000000013262,29900
in_000000166160,cus_000000013263,9900
in_000000166776,cus_000000013301,29900
in_000000167028,cus_000000013319,29900
in_000000167147,cus_000000013328,9900
in_000000167840,cus_000000013383,29900
in_000000167931,cus_000000013391,9900
in_000000168099,cus_000000013407,9900
in_000000168267,cus_000000013426,29900
in_000000168449,cus_000000013441,9900
in_000000169345,cus_000000013517,79900
in_000000169380,cus_000000013519,29900
in_000000170851,cus_000000013639,199900
in_000000171243,cus_000000013674,9900
in_000000171264,cus_000000013676,29900
in_000000171299,cus_000000013679,9900
in_000000167383,cus_000000013346,79900
in_000000167579,cus_000000013359,29900
in_000000167705,cus_000000013367,9900
in_000000167754,cus_000000013372,29900
in_000000167803,cus_000000013377,79900
in_000000167915,cus_000000013390,9900
in_000000169632,cus_000000013538,29900
in_000000169730,cus_000000013548,9900
in_000000169877,cus_000000013562,9900
in_000000171376,cus_000000013687,29900
in_000000171425,cus_000000013691,299000
in_000000171460,cus_000000013693,9900
in_000000171481,cus_000000013694,9900
in_000000171635,cus_000000013702,79900
in_000000171775,cus_000000013718,9900
in_000000171978,cus_000000013735,79900
in_000000172041,cus_000000013739,9900
in_000000172419,cus_000000013763,9900
in_000000172573,cus_000000013777,29900
in_000000172671,cus_000000013786,199900
in_000000172993,cus_000000013808,99000
in_000000173210,cus_000000013827,29900
in_000000173217,cus_000000013828,99000
in_000000173406,cus_000000013844,9900
in_000000173553,cus_000000013864,99000
in_000000173595,cus_000000013871,9900
in_000000173714,cus_000000013880,79900
in_000000173980,cus_000000013903,9900
in_000000174008,cus_000000013909,9900
in_000000174078,cus_000000013912,79900
in_000000174148,cus_000000013914,199900
in_000000174288,cus_000000013920,79900
in_000000174512,cus_000000013936,29900
in_000000174589,cus_000000013946,29900
in_000000153832,cus_000000012313,199900
in_000000153867,cus_000000012314,29900
in_000000153951,cus_000000012319,9900
in_000000154168,cus_000000012330,29900
in_000000167999,cus_000000013398,99000
in_000000168069,cus_000000013403,29900
in_000000168405,cus_000000013435,79900
in_000000174785,cus_000000013963,79900
in_000000174876,cus_000000013971,9900
in_000000175086,cus_000000013986,29900
in_000000175135,cus_000000013988,29900
in_000000175184,cus_000000013995,9900
in_000000156679,cus_000000012513,9900
in_000000156882,cus_000000012533,9900
in_000000156973,cus_000000012538,9900
in_000000168517,cus_000000013448,9900
in_000000169014,cus_000000013494,9900
in_000000154497,cus_000000012351,9900
in_000000154875,cus_000000012376,79900
in_000000154910,cus_000000012378,9900
in_000000170262,cus_000000013594,9900
in_000000170640,cus_000000013623,9900
in_000000170682,cus_000000013626,29900
in_000000170696,cus_000000013628,9900
in_000000157218,cus_000000012553,9900
in_000000157295,cus_000000012557,9900
in_000000158072,cus_000000012636,29900
in_000000158107,cus_000000012638,79900
in_000000158142,cus_000000012639,9900
in_000000158219,cus_000000012644,29900
in_000000158317,cus_000000012650,9900
in_000000169161,cus_000000013504,79900
in_000000170892,cus_000000013641,9900
in_000000170899,cus_000000013644,99000
in_000000171018,cus_000000013650,9900
in_000000158394,cus_000000012657,29900
in_000000158534,cus_000000012670,299000
in_000000158562,cus_000000012672,79900
in_000000158667,cus_000000012680,9900
in_000000158730,cus_000000012684,79900
in_000000158765,cus_000000012685,9900
in_000000158856,cus_000000012690,79900
in_000000159192,cus_000000012713,9900
in_000000159304,cus_000000012724,99000
in_000000171452,cus_000000013692,29900
in_000000171494,cus_000000013695,29900
in_000000159633,cus_000000012757,9900
in_000000159731,cus_000000012763,9900
in_000000159766,cus_000000012764,29900
in_000000159815,cus_000000012767,199900
in_000000169980,cus_000000013573,29900
in_000000175296,cus_000000014000,9900
in_000000175373,cus_000000014009,29900
in_000000175604,cus_000000014023,9900
in_000000172089,cus_000000013744,29900
in_000000172320,cus_000000013757,79900
in_000000175877,cus_000000014049,29900
in_000000175961,cus_000000014056,9900
in_000000176241,cus_000000014073,79900
in_000000173566,cus_000000013866,9900
in_000000176535,cus_000000014097,9900
in_000000176563,cus_000000014098,29900
in_000000176619,cus_000000014103,9900
in_000000177060,cus_000000014136,9900
in_000000177137,cus_000000014144,79900
in_000000177312,cus_000000014163,29900
in_000000155113,cus_000000012403,9900
in_000000155295,cus_000000012425,29900
in_000000155477,cus_000000012435,9900
in_000000173615,cus_000000013872,79900
in_000000173776,cus_000000013882,9900
in_000000173839,cus_000000013887,9900
in_000000160473,cus_000000012824,9900
in_000000160585,cus_000000012834,79900
in_000000170372,cus_000000013602,29900
in_000000170421,cus_000000013605,9900
in_000000170624,cus_000000013622,9900
in_000000170659,cus_000000013625,79900
in_000000177564,cus_000000014185,199900
in_000000177599,cus_000000014187,9900
in_000000177718,cus_000000014198,9900
in_000000177851,cus_000000014209,29900
in_000000177879,cus_000000014210,79900
in_000000161026,cus_000000012867,99000
in_000000161068,cus_000000012872,79900
in_000000155526,cus_000000012439,9900
in_000000155687,cus_000000012448,79900
in_000000155743,cus_000000012453,199900
in_000000178348,cus_000000014245,9900
in_000000178544,cus_000000014268,9900
in_000000174224,cus_000000013917,9900
in_000000174322,cus_000000013923,799000
in_000000174658,cus_000000013954,29900
in_000000161299,cus_000000012891,29900
in_000000161663,cus_000000012916,79900
in_000000170876,cus_000000013640,199900
in_000000171072,cus_000000013659,199900
in_000000171100,cus_000000013662,29900
in_000000171121,cus_000000013665,9900
in_000000171128,cus_000000013666,29900
in_000000174714,cus_000000013958,29900
in_000000174819,cus_000000013967,9900
in_000000175106,cus_000000013987,9900
in_000000156352,cus_000000012493,79900
in_000000156548,cus_000000012505,9900
in_000000161775,cus_000000012923,9900
in_000000161908,cus_000000012936,9900
in_000000161964,cus_000000012941,9900
in_000000162104,cus_000000012953,9900
in_000000162230,cus_000000012963,9900
in_000000171730,cus_000000013715,199900
in_000000171856,cus_000000013722,29900
in_000000175596,cus_000000014022,9900
in_000000175715,cus_000000014033,199900
in_000000175743,cus_000000014034,29900
in_000000179328,cus_000000014328,79900
in_000000179468,cus_000000014335,29900
in_000000179615,cus_000000014346,29900
in_000000156737,cus_000000012516,79900
in_000000156758,cus_000000012521,99000
in_000000156765,cus_000000012523,29900
in_000000157045,cus_000000012543,79900
in_000000162531,cus_000000012995,9900
in_000000162601,cus_000000013002,9900
in_000000175995,cus_000000014058,29900
in_000000171912,cus_000000013728,9900
in_000000171919,cus_000000013729,99000
in_000000172031,cus_000000013737,9900
in_000000157416,cus_000000012568,79900
in_000000157549,cus_000000012583,9900
in_000000157647,cus_000000012589,9900
in_000000157710,cus_000000012592,29900
in_000000176436,cus_000000014087,79900
in_000000177283,cus_000000014162,9900
in_000000177388,cus_000000014167,29900
in_000000177430,cus_000000014174,99000
in_000000177458,cus_000000014177,29900
in_000000177479,cus_000000014181,29900
in_000000172913,cus_000000013803,79900
in_000000172962,cus_000000013806,29900
in_000000177934,cus_000000014212,9900
in_000000177948,cus_000000014217,9900
in_000000177983,cus_000000014218,29900
in_000000178172,cus_000000014230,79900
in_000000178312,cus_000000014242,299000
in_000000178522,cus_000000014267,199900
in_000000178984,cus_000000014297,29900
in_000000179194,cus_000000014316,9900
in_000000179222,cus_000000014318,9900
in_000000179551,cus_000000014341,79900
in_000000179579,cus_000000014343,199900
in_000000179586,cus_000000014344,199900
in_000000179670,cus_000000014349,29900
in_000000173144,cus_000000013820,199900
in_000000173242,cus_000000013829,9900
in_000000173284,cus_000000013833,79900
in_000000173368,cus_000000013841,9900
in_000000173494,cus_000000013852,79900
in_000000173578,cus_000000013869,79900
in_000000162888,cus_000000013022,29900
in_000000163371,cus_000000013055,199900
in_000000163378,cus_000000013056,9900
in_000000163413,cus_000000013057,79900
in_000000173627,cus_000000013874,9900
in_000000173886,cus_000000013891,79900
in_000000173893,cus_000000013892,199900
in_000000173991,cus_000000013905,9900
in_000000157787,cus_000000012600,9900
in_000000157906,cus_000000012616,9900
in_000000157920,cus_000000012619,29900
in_000000157969,cus_000000012624,29900
in_000000158046,cus_000000012635,9900
in_000000158165,cus_000000012642,29900
in_000000158242,cus_000000012647,9900
in_000000158270,cus_000000012648,29900
in_000000163693,cus_000000013080,29900
in_000000163714,cus_000000013081,79900
in_000000174439,cus_000000013932,9900
in_000000174481,cus_000000013935,199900
in_000000174523,cus_000000013939,9900
in_000000158340,cus_000000012651,29900
in_000000158431,cus_000000012660,9900
in_000000164113,cus_000000013101,9900
in_000000164148,cus_000000013104,9900
in_000000174845,cus_000000013968,9900
in_000000174866,cus_000000013969,9900
