CUSTOMER_ID,FIRST_PAID_INVOICE_DATE,PAID_SIGNUP_COHORT_MONTH
cus_000000013479,2022-05-01,2022-05-01
cus_000000013487,2022-02-01,2022-02-01
cus_000000013495,2022-04-01,2022-04-01
cus_000000013508,2023-12-01,2023-12-01
cus_000000013531,2022-02-01,2022-02-01
cus_000000013534,2023-10-01,2023-10-01
cus_000000012955,2022-02-01,2022-02-01
cus_000000012984,2022-03-01,2022-03-01
cus_000000013552,2023-07-01,2023-07-01
cus_000000013568,2022-12-01,2022-12-01
cus_000000013586,2023-01-01,2023-01-01
cus_000000013594,2023-06-01,2023-06-01
cus_000000013600,2022-05-01,2022-05-01
cus_000000013619,2023-07-01,2023-07-01
cus_000000013622,2023-08-01,2023-08-01
cus_000000013628,2023-09-01,2023-09-01
cus_000000013661,2023-01-01,2023-01-01
cus_000000013667,2022-04-01,2022-04-01
cus_000000013146,2023-05-01,2023-05-01
cus_000000013205,2023-02-01,2023-02-01
cus_000000013705,2022-04-01,2022-04-01
cus_000000013722,2023-03-01,2023-03-01
cus_000000012488,2023-03-01,2023-03-01
cus_000000013749,2023-06-01,2023-06-01
cus_000000013765,2023-09-01,2023-09-01
cus_000000013503,2023-09-01,2023-09-01
cus_000000013540,2022-05-01,2022-05-01
cus_000000012637,2022-07-01,2022-07-01
cus_000000013783,2023-04-01,2023-04-01
cus_000000013784,2022-06-01,2022-06-01
cus_000000013556,2022-07-01,2022-07-01
cus_000000013792,2023-04-01,2023-04-01
cus_000000013797,2023-10-01,2023-10-01
cus_000000013803,2023-04-01,2023-04-01
cus_000000013809,2023-02-01,2023-02-01
cus_000000013463,2023-03-01,2023-03-01
cus_000000013831,2023-05-01,2023-05-01
cus_000000013843,2023-09-01,2023-09-01
cus_000000013845,2022-02-01,2022-02-01
cus_000000013926,2022-01-01,2022-01-01
cus_000000013928,2023-03-01,2023-03-01
cus_000000013943,2023-03-01,2023-03-01
cus_000000012494,2023-07-01,2023-07-01
cus_000000013963,2023-05-01,2023-05-01
cus_000000013968,2022-11-01,2022-11-01
cus_000000013988,2022-06-01,2022-06-01
cus_000000013994,2022-06-01,2022-06-01
cus_000000012697,2022-05-01,2022-05-01
cus_000000014017,2022-05-01,2022-05-01
cus_000000014021,2022-02-01,2022-02-01
cus_000000014041,2022-11-01,2022-11-01
cus_000000012868,2022-03-01,2022-03-01
cus_000000012989,2022-05-01,2022-05-01
cus_000000014065,2023-11-01,2023-11-01
cus_000000014082,2022-07-01,2022-07-01
cus_000000013214,2022-02-01,2022-02-01
cus_000000014103,2022-09-01,2022-09-01
cus_000000012823,2023-12-01,2023-12-01
cus_000000014133,2023-03-01,2023-03-01
cus_000000014147,2023-12-01,2023-12-01
cus_000000014156,2023-11-01,2023-11-01
cus_000000014162,2023-11-01,2023-11-01
cus_000000014167,2023-01-01,2023-01-01
cus_000000014170,2022-04-01,2022-04-01
cus_000000012896,2023-07-01,2023-07-01
cus_000000014185,2022-07-01,2022-07-01
cus_000000014198,2023-09-01,2023-09-01
cus_000000014199,2022-05-01,2022-05-01
cus_000000014209,2023-02-01,2023-02-01
cus_000000014245,2022-05-01,2022-05-01
cus_000000014255,2022-12-01,2022-12-01
cus_000000014264,2023-10-01,2023-10-01
cus_000000014030,2023-06-01,2023-06-01
cus_000000014165,2023-10-01,2023-10-01
cus_000000014268,2023-03-01,2023-03-01
cus_000000014122,2023-10-01,2023-10-01
cus_000000014292,2023-05-01,2023-05-01
cus_000000014296,2023-11-01,2023-11-01
cus_000000014305,2022-10-01,2022-10-01
cus_000000014308,2023-04-01,2023-04-01
cus_000000014323,2022-01-01,2022-01-01
cus_000000014331,2023-07-01,2023-07-01
cus_000000014338,2023-03-01,2023-03-01
cus_000000014343,2022-08-01,2022-08-01
cus_000000014348,2022-05-01,2022-05-01
cus_000000014353,2022-12-01,2022-12-01
cus_000000013569,2023-11-01,2023-11-01
cus_000000013614,2022-06-01,2022-06-01
cus_000000013524,2023-12-01,2023-12-01
cus_000000013867,2022-03-01,2022-03-01
cus_000000013941,2022-09-01,2022-09-01
cus_000000013424,2023-12-01,2023-12-01
cus_000000013477,2023-10-01,2023-10-01
cus_000000013710,2023-03-01,2023-03-01
cus_000000013582,2022-03-01,2022-03-01
cus_000000013855,2023-11-01,2023-11-01
cus_000000014088,2022-11-01,2022-11-01
cus_000000014182,2023-12-01,2023-12-01
cus_000000014205,2023-07-01,2023-07-01
cus_000000014235,2022-08-01,2022-08-01
cus_000000014253,2022-08-01,2022-08-01
cus_000000013671,2022-09-01,2022-09-01
cus_000000013960,2023-11-01,2023-11-01
cus_000000014317,2022-07-01,2022-07-01
cus_000000014039,2023-07-01,2023-07-01
cus_000000014174,2023-06-01,2023-06-01
cus_000000013770,2022-07-01,2022-07-01
cus_000000013839,2023-04-01,2023-04-01
cus_000000014054,2022-05-01,2022-05-01
cus_000000014083,2022-11-01,2022-11-01
cus_000000014270,2022-03-01,2022-03-01
cus_000000014363,2023-07-01,2023-07-01
cus_000000014382,2023-08-01,2023-08-01
cus_000000014407,2022-03-01,2022-03-01
cus_000000014413,2022-10-01,2022-10-01
cus_000000014437,2023-08-01,2023-08-01
cus_000000014445,2023-01-01,2023-01-01
cus_000000014471,2023-05-01,2023-05-01
cus_000000014485,2022-05-01,2022-05-01
cus_000000014497,2022-02-01,2022-02-01
cus_000000014513,2023-05-01,2023-05-01
cus_000000014523,2022-10-01,2022-10-01
cus_000000014530,2022-02-01,2022-02-01
cus_000000014533,2022-04-01,2022-04-01
cus_000000014541,2023-02-01,2023-02-01
cus_000000014563,2023-04-01,2023-04-01
cus_000000014578,2022-04-01,2022-04-01
cus_000000014581,2022-05-01,2022-05-01
cus_000000014606,2023-01-01,2023-01-01
cus_000000014610,2022-05-01,2022-05-01
cus_000000014624,2022-02-01,2022-02-01
cus_000000014643,2022-06-01,2022-06-01
cus_000000014657,2022-11-01,2022-11-01
cus_000000014658,2023-01-01,2023-01-01
cus_000000014671,2023-06-01,2023-06-01
cus_000000014686,2022-06-01,2022-06-01
cus_000000014687,2022-12-01,2022-12-01
cus_000000014719,2023-10-01,2023-10-01
cus_000000014730,2023-09-01,2023-09-01
cus_000000014737,2022-07-01,2022-07-01
cus_000000014738,2023-04-01,2023-04-01
cus_000000014748,2022-10-01,2022-10-01
cus_000000014755,2023-12-01,2023-12-01
cus_000000014763,2023-08-01,2023-08-01
cus_000000014770,2023-06-01,2023-06-01
cus_000000014789,2022-03-01,2022-03-01
cus_000000014792,2023-01-01,2023-01-01
cus_000000014805,2022-09-01,2022-09-01
cus_000000014806,2023-04-01,2023-04-01
cus_000000014808,2023-10-01,2023-10-01
cus_000000014809,2023-11-01,2023-11-01
cus_000000014816,2022-01-01,2022-01-01
cus_000000014836,2023-01-01,2023-01-01
cus_000000014844,2022-10-01,2022-10-01
cus_000000014848,2022-04-01,2022-04-01
cus_000000014852,2023-08-01,2023-08-01
cus_000000014887,2023-02-01,2023-02-01
cus_000000014888,2023-05-01,2023-05-01
cus_000000014893,2022-10-01,2022-10-01
cus_000000014901,2022-11-01,2022-11-01
cus_000000014902,2022-12-01,2022-12-01
cus_000000014905,2022-08-01,2022-08-01
cus_000000014908,2023-01-01,2023-01-01
cus_000000014985,2023-11-01,2023-11-01
cus_000000014993,2022-05-01,2022-05-01
cus_000000015022,2022-12-01,2022-12-01
cus_000000015072,2022-03-01,2022-03-01
cus_000000015124,2022-01-01,2022-01-01
cus_000000015129,2023-11-01,2023-11-01
cus_000000015144,2022-08-01,2022-08-01
cus_000000015145,2023-01-01,2023-01-01
cus_000000015152,2023-03-01,2023-03-01
cus_000000015161,2022-08-01,2022-08-01
cus_000000015166,2022-01-01,2022-01-01
cus_000000015176,2023-11-01,2023-11-01
cus_000000015187,2022-07-01,2022-07-01
cus_000000015200,2023-04-01,2023-04-01
cus_000000015232,2023-06-01,2023-06-01
cus_000000015236,2023-04-01,2023-04-01
cus_000000015247,2022-08-01,2022-08-01
cus_000000015250,2023-10-01,2023-10-01
cus_000000015259,2022-02-01,2022-02-01
cus_000000015270,2023-09-01,2023-09-01
cus_000000015297,2022-05-01,2022-05-01
cus_000000015308,2022-11-01,2022-11-01
cus_000000015323,2023-05-01,2023-05-01
cus_000000015332,2023-11-01,2023-11-01
cus_000000015384,2023-04-01,2023-04-01
cus_000000015101,2022-10-01,2022-10-01
cus_000000015320,2022-11-01,2022-11-01
cus_000000015419,2022-02-01,2022-02-01
cus_000000015432,2023-05-01,2023-05-01
cus_000000015456,2022-01-01,2022-01-01
cus_000000015472,2022-08-01,2022-08-01
cus_000000015480,2023-02-01,2023-02-01
cus_000000015483,2022-03-01,2022-03-01
cus_000000015488,2022-07-01,2022-07-01
cus_000000015494,2023-06-01,2023-06-01
cus_000000015559,2022-01-01,2022-01-01
cus_000000015560,2023-06-01,2023-06-01
cus_000000015564,2023-06-01,2023-06-01
cus_000000015567,2023-12-01,2023-12-01
cus_000000015579,2023-06-01,2023-06-01
cus_000000015605,2022-01-01,2022-01-01
cus_000000015639,2022-03-01,2022-03-01
cus_000000015644,2022-06-01,2022-06-01
cus_000000015649,2023-04-01,2023-04-01
cus_000000015655,2023-11-01,2023-11-01
cus_000000015669,2022-06-01,2022-06-01
cus_000000015674,2022-07-01,2022-07-01
cus_000000015679,2023-12-01,2023-12-01
cus_000000015732,2022-04-01,2022-04-01
cus_000000015748,2023-02-01,2023-02-01
cus_000000015750,2023-04-01,2023-04-01
cus_000000015779,2022-02-01,2022-02-01
cus_000000015793,2022-09-01,2022-09-01
cus_000000015800,2022-06-01,2022-06-01
cus_000000015902,2023-06-01,2023-06-01
cus_000000015909,2023-11-01,2023-11-01
cus_000000015935,2023-04-01,2023-04-01
cus_000000015950,2023-05-01,2023-05-01
cus_000000015976,2023-07-01,2023-07-01
cus_000000016001,2022-03-01,2022-03-01
cus_000000016017,2022-10-01,2022-10-01
cus_000000016047,2022-12-01,2022-12-01
cus_000000016069,2023-08-01,2023-08-01
cus_000000016100,2022-01-01,2022-01-01
cus_000000016101,2023-02-01,2023-02-01
cus_000000016109,2022-08-01,2022-08-01
cus_000000016111,2023-11-01,2023-11-01
cus_000000016142,2022-06-01,2022-06-01
cus_000000016158,2023-08-01,2023-08-01
cus_000000016171,2023-09-01,2023-09-01
cus_000000016179,2022-06-01,2022-06-01
cus_000000016204,2023-02-01,2023-02-01
cus_000000016214,2023-06-01,2023-06-01
cus_000000016215,2022-06-01,2022-06-01
cus_000000016225,2022-03-01,2022-03-01
cus_000000016227,2022-07-01,2022-07-01
cus_000000016235,2022-10-01,2022-10-01
cus_000000016243,2023-02-01,2023-02-01
cus_000000016281,2022-04-01,2022-04-01
cus_000000016310,2023-01-01,2023-01-01
cus_000000016316,2022-09-01,2022-09-01
cus_000000016329,2023-11-01,2023-11-01
cus_000000016333,2023-05-01,2023-05-01
cus_000000016345,2023-05-01,2023-05-01
cus_000000016350,2022-08-01,2022-08-01
cus_000000016411,2023-04-01,2023-04-01
cus_000000016430,2022-02-01,2022-02-01
cus_000000016436,2022-12-01,2022-12-01
cus_000000016471,2022-06-01,2022-06-01
cus_000000016492,2023-05-01,2023-05-01
cus_000000016502,2023-12-01,2023-12-01
cus_000000016508,2022-11-01,2022-11-01
cus_000000016541,2022-01-01,2022-01-01
cus_000000016543,2022-07-01,2022-07-01
cus_000000016567,2023-03-01,2023-03-01
cus_000000016574,2023-04-01,2023-04-01
cus_000000016576,2022-04-01,2022-04-01
cus_000000016582,2022-03-01,2022-03-01
cus_000000016587,2023-08-01,2023-08-01
cus_000000016613,2022-06-01,2022-06-01
cus_000000016614,2022-12-01,2022-12-01
cus_000000016616,2022-11-01,2022-11-01
cus_000000016632,2022-09-01,2022-09-01
cus_000000016638,2022-03-01,2022-03-01
cus_000000014371,2023-07-01,2023-07-01
cus_000000014682,2023-03-01,2023-03-01
cus_000000015011,2022-02-01,2022-02-01
cus_000000015021,2022-10-01,2022-10-01
cus_000000015230,2022-11-01,2022-11-01
cus_000000015234,2023-11-01,2023-11-01
cus_000000015246,2023-07-01,2023-07-01
cus_000000015340,2023-06-01,2023-06-01
cus_000000015642,2022-01-01,2022-01-01
cus_000000016073,2023-04-01,2023-04-01
cus_000000016258,2023-05-01,2023-05-01
cus_000000016340,2022-05-01,2022-05-01
cus_000000016371,2023-04-01,2023-04-01
cus_000000016373,2023-06-01,2023-06-01
cus_000000015455,2023-04-01,2023-04-01
cus_000000015518,2022-06-01,2022-06-01
cus_000000015610,2022-07-01,2022-07-01
cus_000000015656,2022-12-01,2022-12-01
cus_000000015718,2023-02-01,2023-02-01
cus_000000015813,2022-08-01,2022-08-01
cus_000000015825,2023-03-01,2023-03-01
cus_000000015882,2023-07-01,2023-07-01
cus_000000015888,2022-10-01,2022-10-01
cus_000000015916,2022-10-01,2022-10-01
cus_000000015944,2023-01-01,2023-01-01
cus_000000016112,2022-08-01,2022-08-01
cus_000000016198,2022-05-01,2022-05-01
cus_000000016323,2022-05-01,2022-05-01
cus_000000016328,2022-06-01,2022-06-01
cus_000000016406,2022-09-01,2022-09-01
cus_000000016416,2023-05-01,2023-05-01
cus_000000014392,2022-07-01,2022-07-01
cus_000000014420,2022-12-01,2022-12-01
cus_000000014450,2023-06-01,2023-06-01
cus_000000014467,2023-01-01,2023-01-01
cus_000000014509,2022-07-01,2022-07-01
cus_000000014622,2022-07-01,2022-07-01
cus_000000014758,2023-03-01,2023-03-01
cus_000000014960,2022-11-01,2022-11-01
cus_000000015064,2022-02-01,2022-02-01
cus_000000015104,2022-07-01,2022-07-01
cus_000000015197,2023-02-01,2023-02-01
cus_000000015239,2022-09-01,2022-09-01
cus_000000015329,2022-08-01,2022-08-01
cus_000000015344,2022-01-01,2022-01-01
cus_000000015439,2022-08-01,2022-08-01
cus_000000015457,2023-06-01,2023-06-01
cus_000000015728,2023-10-01,2023-10-01
cus_000000015257,2023-03-01,2023-03-01
cus_000000015875,2022-03-01,2022-03-01
cus_000000016085,2022-10-01,2022-10-01
cus_000000016129,2022-02-01,2022-02-01
cus_000000016178,2023-05-01,2023-05-01
cus_000000016206,2022-05-01,2022-05-01
cus_000000016240,2022-08-01,2022-08-01
cus_000000016460,2022-01-01,2022-01-01
cus_000000016486,2023-03-01,2023-03-01
cus_000000015602,2023-04-01,2023-04-01
cus_000000016566,2022-09-01,2022-09-01
cus_000000015218,2023-05-01,2023-05-01
cus_000000016135,2023-12-01,2023-12-01
cus_000000016675,2022-07-01,2022-07-01
cus_000000016686,2023-09-01,2023-09-01
cus_000000016693,2022-04-01,2022-04-01
cus_000000016705,2022-12-01,2022-12-01
cus_000000016712,2023-05-01,2023-05-01
cus_000000016727,2023-04-01,2023-04-01
cus_000000016741,2022-08-01,2022-08-01
cus_000000016766,2022-10-01,2022-10-01
cus_000000016784,2023-05-01,2023-05-01
cus_000000016798,2023-06-01,2023-06-01
cus_000000016821,2022-12-01,2022-12-01
cus_000000016842,2023-06-01,2023-06-01
cus_000000016859,2022-12-01,2022-12-01
cus_000000016910,2022-02-01,2022-02-01
cus_000000016949,2023-03-01,2023-03-01
cus_000000016953,2023-10-01,2023-10-01
cus_000000016972,2023-12-01,2023-12-01
cus_000000016999,2023-04-01,2023-04-01
cus_000000017000,2022-11-01,2022-11-01
cus_000000017001,2023-02-01,2023-02-01
cus_000000017008,2023-06-01,2023-06-01
cus_000000017018,2023-12-01,2023-12-01
cus_000000017037,2023-06-01,2023-06-01
cus_000000017048,2022-03-01,2022-03-01
cus_000000017053,2022-05-01,2022-05-01
cus_000000017060,2022-09-01,2022-09-01
cus_000000017064,2022-05-01,2022-05-01
cus_000000017103,2023-09-01,2023-09-01
cus_000000017105,2023-10-01,2023-10-01
cus_000000017121,2023-12-01,2023-12-01
cus_000000017174,2023-01-01,2023-01-01
cus_000000017178,2023-07-01,2023-07-01
cus_000000017188,2022-10-01,2022-10-01
cus_000000017189,2023-08-01,2023-08-01
cus_000000017208,2022-09-01,2022-09-01
cus_000000017217,2023-10-01,2023-10-01
cus_000000017223,2023-04-01,2023-04-01
cus_000000017224,2023-08-01,2023-08-01
cus_000000017232,2023-11-01,2023-11-01
cus_000000017234,2022-03-01,2022-03-01
cus_000000017271,2022-03-01,2022-03-01
cus_000000017272,2022-03-01,2022-03-01
cus_000000017300,2023-10-01,2023-10-01
cus_000000017302,2022-01-01,2022-01-01
cus_000000017306,2023-02-01,2023-02-01
cus_000000017313,2022-09-01,2022-09-01
cus_000000017319,2023-12-01,2023-12-01
cus_000000017325,2023-09-01,2023-09-01
cus_000000017326,2022-04-01,2022-04-01
cus_000000017342,2022-01-01,2022-01-01
cus_000000017345,2023-06-01,2023-06-01
cus_000000017355,2022-05-01,2022-05-01
cus_000000017357,2022-07-01,2022-07-01
cus_000000017380,2023-09-01,2023-09-01
cus_000000017431,2022-03-01,2022-03-01
cus_000000017434,2022-11-01,2022-11-01
cus_000000017443,2023-04-01,2023-04-01
cus_000000017473,2022-02-01,2022-02-01
cus_000000017482,2023-01-01,2023-01-01
cus_000000017484,2022-08-01,2022-08-01
cus_000000017488,2022-04-01,2022-04-01
cus_000000017503,2023-03-01,2023-03-01
cus_000000017517,2022-07-01,2022-07-01
cus_000000017525,2022-06-01,2022-06-01
cus_000000017538,2022-05-01,2022-05-01
cus_000000017540,2023-05-01,2023-05-01
cus_000000017557,2023-06-01,2023-06-01
cus_000000016878,2022-07-01,2022-07-01
cus_000000017580,2022-01-01,2022-01-01
cus_000000017583,2023-05-01,2023-05-01
cus_000000017602,2023-11-01,2023-11-01
cus_000000017623,2022-03-01,2022-03-01
cus_000000017625,2022-01-01,2022-01-01
cus_000000017639,2022-10-01,2022-10-01
cus_000000017673,2022-08-01,2022-08-01
cus_000000017707,2022-07-01,2022-07-01
cus_000000017721,2022-01-01,2022-01-01
cus_000000017724,2022-11-01,2022-11-01
cus_000000017729,2023-05-01,2023-05-01
cus_000000017737,2022-04-01,2022-04-01
cus_000000017768,2022-07-01,2022-07-01
cus_000000017770,2023-02-01,2023-02-01
cus_000000017781,2022-05-01,2022-05-01
cus_000000017789,2022-10-01,2022-10-01
cus_000000017803,2022-02-01,2022-02-01
cus_000000017807,2023-03-01,2023-03-01
cus_000000017832,2023-01-01,2023-01-01
cus_000000017838,2022-08-01,2022-08-01
cus_000000017849,2022-07-01,2022-07-01
cus_000000017869,2022-02-01,2022-02-01
cus_000000017887,2023-08-01,2023-08-01
cus_000000017894,2023-06-01,2023-06-01
cus_000000017895,2023-02-01,2023-02-01
cus_000000017902,2022-06-01,2022-06-01
cus_000000017908,2022-05-01,2022-05-01
cus_000000017917,2022-11-01,2022-11-01
cus_000000017920,2023-02-01,2023-02-01
cus_000000017924,2023-03-01,2023-03-01
cus_000000017926,2023-07-01,2023-07-01
cus_000000017941,2022-07-01,2022-07-01
cus_000000017983,2022-07-01,2022-07-01
cus_000000017987,2022-10-01,2022-10-01
cus_000000017993,2022-09-01,2022-09-01
cus_000000018015,2022-12-01,2022-12-01
cus_000000018017,2022-01-01,2022-01-01
cus_000000018018,2023-04-01,2023-04-01
cus_000000018029,2022-03-01,2022-03-01
cus_000000018032,2022-03-01,2022-03-01
cus_000000018042,2022-11-01,2022-11-01
cus_000000018043,2022-06-01,2022-06-01
cus_000000018049,2023-03-01,2023-03-01
cus_000000018061,2022-06-01,2022-06-01
cus_000000018073,2022-03-01,2022-03-01
cus_000000018091,2023-11-01,2023-11-01
cus_000000018109,2022-06-01,2022-06-01
cus_000000018138,2022-02-01,2022-02-01
cus_000000018143,2023-09-01,2023-09-01
cus_000000018162,2022-08-01,2022-08-01
cus_000000018179,2022-06-01,2022-06-01
cus_000000018189,2022-06-01,2022-06-01
cus_000000018218,2022-11-01,2022-11-01
cus_000000018244,2022-05-01,2022-05-01
cus_000000018276,2023-03-01,2023-03-01
cus_000000018294,2023-01-01,2023-01-01
cus_000000018313,2022-07-01,2022-07-01
cus_000000018325,2023-01-01,2023-01-01
cus_000000018348,2022-04-01,2022-04-01
cus_000000018351,2022-03-01,2022-03-01
cus_000000018363,2022-10-01,2022-10-01
cus_000000018392,2022-06-01,2022-06-01
cus_000000018396,2022-05-01,2022-05-01
cus_000000018417,2023-06-01,2023-06-01
cus_000000018421,2022-09-01,2022-09-01
cus_000000018434,2023-10-01,2023-10-01
cus_000000018444,2023-12-01,2023-12-01
cus_000000018448,2022-10-01,2022-10-01
cus_000000018453,2022-08-01,2022-08-01
cus_000000018461,2023-09-01,2023-09-01
cus_000000018496,2022-04-01,2022-04-01
cus_000000018504,2023-04-01,2023-04-01
cus_000000018527,2023-10-01,2023-10-01
cus_000000018558,2022-12-01,2022-12-01
cus_000000018589,2023-11-01,2023-11-01
cus_000000018604,2023-06-01,2023-06-01
cus_000000018633,2023-04-01,2023-04-01
cus_000000018684,2023-08-01,2023-08-01
cus_000000018707,2023-01-01,2023-01-01
cus_000000018708,2022-01-01,2022-01-01
cus_000000018711,2022-03-01,2022-03-01
cus_000000018718,2023-08-01,2023-08-01
cus_000000018739,2023-09-01,2023-09-01
cus_000000018749,2022-11-01,2022-11-01
cus_000000018758,2022-11-01,2022-11-01
cus_000000018761,2022-04-01,2022-04-01
cus_000000018792,2023-09-01,2023-09-01
cus_000000018804,2022-01-01,2022-01-01
cus_000000018807,2022-05-01,2022-05-01
cus_000000018828,2022-02-01,2022-02-01
cus_000000018831,2022-02-01,2022-02-01
cus_000000018849,2023-10-01,2023-10-01
cus_000000018851,2022-04-01,2022-04-01
cus_000000018854,2023-06-01,2023-06-01
cus_000000018871,2022-03-01,2022-03-01
cus_000000018873,2022-06-01,2022-06-01
cus_000000018907,2022-09-01,2022-09-01
cus_000000018932,2023-03-01,2023-03-01
cus_000000018950,2023-07-01,2023-07-01
cus_000000016670,2023-03-01,2023-03-01
cus_000000016709,2023-07-01,2023-07-01
cus_000000016796,2022-01-01,2022-01-01
cus_000000016808,2022-05-01,2022-05-01
cus_000000016846,2023-05-01,2023-05-01
cus_000000016904,2023-11-01,2023-11-01
cus_000000017187,2022-03-01,2022-03-01
cus_000000017295,2022-09-01,2022-09-01
cus_000000017331,2022-03-01,2022-03-01
cus_000000017898,2023-06-01,2023-06-01
cus_000000018535,2023-04-01,2023-04-01
cus_000000018553,2023-03-01,2023-03-01
cus_000000018656,2022-08-01,2022-08-01
cus_000000018698,2022-09-01,2022-09-01
cus_000000017487,2023-08-01,2023-08-01
cus_000000017624,2022-03-01,2022-03-01
cus_000000017641,2023-05-01,2023-05-01
cus_000000017645,2023-07-01,2023-07-01
cus_000000017665,2022-12-01,2022-12-01
cus_000000017681,2023-10-01,2023-10-01
cus_000000017746,2023-10-01,2023-10-01
cus_000000017997,2023-03-01,2023-03-01
cus_000000018028,2023-07-01,2023-07-01
cus_000000018555,2022-08-01,2022-08-01
cus_000000018696,2023-09-01,2023-09-01
cus_000000018852,2023-12-01,2023-12-01
cus_000000018872,2023-01-01,2023-01-01
cus_000000018881,2022-06-01,2022-06-01
cus_000000017098,2022-03-01,2022-03-01
cus_000000017292,2022-01-01,2022-01-01
cus_000000017347,2023-02-01,2023-02-01
cus_000000017647,2022-03-01,2022-03-01
cus_000000017660,2023-04-01,2023-04-01
cus_000000017730,2022-01-01,2022-01-01
cus_000000018312,2023-08-01,2023-08-01
cus_000000016684,2022-12-01,2022-12-01
cus_000000016762,2022-02-01,2022-02-01
cus_000000018557,2023-03-01,2023-03-01
cus_000000016988,2022-06-01,2022-06-01
cus_000000018582,2023-12-01,2023-12-01
cus_000000018781,2023-12-01,2023-12-01
